BLOG POST INVENTORY: All Published & Planned Posts,,,,,,,,,,,,,,,,,,,,,,,,,,
"Every blog post on sellingpdxhomes.com with multi-category assignments (up to 3), primary keywords, and content clusters. Action items sort to top (red=delete, orange=planned, green=published). Status column drives sort order.",,,,,,,,,,,,,,,,,,,,,,,,,,
Category,City/Location Segment,Article Title,Full URL,City & Neighborhood Description for the listing sheets,Meta Title,Meta Description,Meta Keywords,Category 1,Category 2,Category 3,Category 1 URL,Status,Primary Keyword,Content Cluster,,,,,,,,,,,,
Blog,Tualatin/Tigard,From Intel to Nike: Tech Corridor Property Values (Version 2),https://www.sellingpdxhomes.com/blog/intel-nike-tech-corridor-tualatian-tigard,,From Intel to Nike: Tech Corridor Reshaping Tualatin & Tigard Property Values,The West Side tech corridor from Intel to Nike is reshaping property values in Tualatin and Tigard. Here's what the data shows and what it means for buyers.,,Community Page,Real Estate News,,https://www.sellingpdxhomes.com/blog?categoryId=22424,DELETE 1 DUPLICATE,tech corridor property values Tualatin Tigard,City Guide: Tualatin,,,,,,,,,,,,
Blog,Beaverton,Open Houses in Beaverton: 7 Mistakes Buyers Are Making Right Now,https://www.sellingpdxhomes.com/blog/20-Unique-Home-Gifts-for-Every-Person-on-Your-List,,Open Houses in Beaverton: 7 Buyer Mistakes to Avoid | Saling Homes,Attending open houses in Beaverton? Avoid these 7 common buyer mistakes that cost money and leverage. Tips from a local Portland metro real estate agent.,,Buying a Home,Community Page,,https://www.sellingpdxhomes.com/blog?categoryId=21716,Planned,open houses Beaverton Oregon,City Guide: Beaverton,,,,,,,,,,,,
Blog,Blog,7 Questions Before Moving,https://www.sellingpdxhomes.com/blog/Thinking-About-a-Move-in-2026-Ask-Yourself-These-7-Questions-First,,Thinking of Moving in 2026? Ask These 7 Questions,"Before you list or start searching, these 7 questions will tell you if 2026 is actually the right time to make your move in the Portland area.",,Buying a Home,Home Buying Process,,https://www.sellingpdxhomes.com/blog?categoryId=21716,Published,moving to Portland Oregon,Buyer Education Hub,,,,,,,,,,,,
Blog,Blog,Buy Now or Rent Longer?,https://www.sellingpdxhomes.com/blog/Buy-Now-or-Rent-Longer-5-Questions-to-Answer-Before-Purchasing-Your-First-Home,,Buy Now or Rent Longer? 5 Questions to Answer First,Should you buy now or keep renting? These 5 questions help first-time Portland buyers figure out if the timing is actually right for them financially.,,Buying a Home,Mortgage Information,,https://www.sellingpdxhomes.com/blog?categoryId=21716,Published,rent vs buy Portland,Buyer Education Hub,,,,,,,,,,,,
Blog,Blog,Mortgage vs. Ownership Costs,https://www.sellingpdxhomes.com/blog/Mortgage-vs-Ownership-Costs-What-Buyers-Need-To-Budget-Beyond-Payment,,True Cost of Owning a Home Beyond Your Mortgage,Your mortgage is just the start. Learn what Portland buyers actually budget for beyond their monthly payment so you're never caught off guard after closing.,,Buying a Home,Mortgage Information,Homeownership,https://www.sellingpdxhomes.com/blog?categoryId=21716,Published,homeownership costs Portland,Buyer Education Hub,,,,,,,,,,,,
Blog,Multigenerational,Multigenerational Home Guide,https://www.sellingpdxhomes.com/blog/multigenerational-home-buying-guide,,"Multigenerational Home Buying Guide | Portland, OR","Buying a home for multiple generations? Learn how to find the right floor plan, ADU options, and loan strategies for multigenerational living in Portland.",,Buying a Home,Home Buying Process,,https://www.sellingpdxhomes.com/blog?categoryId=21716,Published,multigenerational homes Portland,Buyer Education Hub,,,,,,,,,,,,
Blog,Multigenerational,Multigenerational Living PDX,https://www.sellingpdxhomes.com/blog/Could-a-Portland-multigenerational-Home-Be-the-Right-Fit-for-You,,Is a Multigenerational Home Right for Your Family?,More Portland families are combining households. Find out if a multigenerational home setup makes financial and lifestyle sense for your situation.,,Buying a Home,Community Page,,https://www.sellingpdxhomes.com/blog?categoryId=21716,Published,multigenerational living Portland,Buyer Education Hub,,,,,,,,,,,,
Blog,Blog,"The $23,000 January Advantage",https://www.sellingpdxhomes.com/blog/January-Could-Save-You-23000-Why-Portland-Buyers-Have-Rare-Advantage,,How January Buyers Save $23K in Portland Real Estate,January is one of the best-kept secrets in Portland real estate. Find out why buyers who act in winter often save thousands compared to spring competitors.,,Buying a Home,Market Update,,https://www.sellingpdxhomes.com/blog?categoryId=21716,Published,buy home January Portland,Buyer Education Hub,,,,,,,,,,,,
Blog,Tualatin,"The Ultimate Guide to Single Level Homes for Sale in Tualatin, Oregon",https://www.sellingpdxhomes.com/blog/The-Ultimate-Guide-to-Single-Level-Homes-for-Sale-in-Tualatin-Oregon,,"Single Level Homes for Sale in Tualatin, Oregon | Complete Guide","Looking for single level homes in Tualatin, Oregon? Explore neighborhoods, price ranges, and what to expect when buying a one-story home in the Portland metro.",,Buying a Home,Community Page,Downsizing,https://www.sellingpdxhomes.com/blog?categoryId=21716,Published,single level homes Tualatin Oregon,City Guide: Tualatin,,,,,,,,,,,,
Blog,Home Buying,Wants vs. Needs: Homebuyers,https://www.sellingpdxhomes.com/blog/Balancing-Your-Wants-and-Needs-as-a-Homebuyer-This-Spring,,Balancing Wants vs. Needs as a Portland Homebuyer,"In a competitive market, knowing what you truly need vs. what you just want is the key to making smart offers. Here's a framework to help you decide.",,Buying a Home,Home Buying Process,,https://www.sellingpdxhomes.com/blog?categoryId=21716,Published,home buying priorities,Buyer Education Hub,,,,,,,,,,,,
Blog,Condos,Why Consider Condos?,https://www.sellingpdxhomes.com/blog/Reasons-To-Consider-Condos-in-Your-Home-Search,,Why You Should Consider Condos in Your Home Search,"Condos get overlooked, but they shouldn't be. Find out why Portland condos might check more boxes than you think, especially for first-time buyers and...",,Buying a Home,,,https://www.sellingpdxhomes.com/blog?categoryId=21716,Published,Portland condos for sale,Buyer Education Hub,,,,,,,,,,,,
Blog,Blog,Winning Offer Strategies,https://www.sellingpdxhomes.com/blog/5-Ways-to-Write-a-Winning-Offer,,"5 Ways to Write a Winning Offer in Portland, OR","In a competitive market, how you write your offer matters as much as price. These 5 strategies help Portland buyers stand out and win in low-inventory...",,Buying a Home,Home Buying Process,,https://www.sellingpdxhomes.com/blog?categoryId=21716,Published,how to win offer Portland,Buyer Education Hub,,,,,,,,,,,,
Blog,Beaverton,Beaverton Real Estate Guide,https://www.sellingpdxhomes.com/blog/beaverton-oregon-real-estate-lifestyle-guide,,"Beaverton, OR Real Estate & Lifestyle Guide","Beaverton is the heart of the Silicon Forest with a booming job market, affordable homes, and excellent schools. Here's your complete guide to living there.",,Community Page,Buying a Home,,https://www.sellingpdxhomes.com/blog?categoryId=22424,Published,living in Beaverton Oregon,City Guide: Beaverton,,,,,,,,,,,,
Blog,Gladstone,Discover Gladstone,https://www.sellingpdxhomes.com/blog/Discover-Gladstone-Oregon,,"Discover Gladstone, Oregon | Community & Real Estate Guide","Gladstone offers small-town warmth, river access, and home prices that still make sense. Here's what you need to know about this underrated Clackamas gem.",,Community Page,,,https://www.sellingpdxhomes.com/blog?categoryId=22424,Published,living in Gladstone Oregon,City Guide: Gladstone,,,,,,,,,,,,
Blog,Milwaukie,Discover Milwaukie,https://www.sellingpdxhomes.com/blog/discover-milwaukie-oregon,,"Discover Milwaukie, OR | Neighborhood & Real Estate","Milwaukie is one of Portland's best-kept secrets with riverfront access, a thriving downtown, and home prices below the inner eastside. Here's what to know.",,Community Page,,,https://www.sellingpdxhomes.com/blog?categoryId=22424,Published,living in Milwaukie Oregon,City Guide: Milwaukie,,,,,,,,,,,,
Blog,Sherwood,Discover Sherwood,https://www.sellingpdxhomes.com/blog/discover-sherwood-oregon,,"Moving to Sherwood, Oregon | Schools, Homes & Lifestyle","Sherwood is one of the top-rated cities for schools, parks, and community events near Portland. Great schools, quiet streets, and easy freeway access make it a top choice for buyers.",,Community Page,,,https://www.sellingpdxhomes.com/blog?categoryId=22424,Published,living in Sherwood Oregon,City Guide: Sherwood,,,,,,,,,,,,
Blog,Tualatin/Tigard,From Intel to Nike: Tech Corridor Property Values (Version 1),https://www.sellingpdxhomes.com/blog/From-Intel-to-Nike,,From Intel to Nike: How the Tech Corridor Reshapes Tualatin & Tigard Values,The West Side tech corridor from Intel to Nike is reshaping property values in Tualatin and Tigard. Here's what the data shows and what it means for buyers.,,Community Page,Real Estate News,,https://www.sellingpdxhomes.com/blog?categoryId=22424,Published,tech corridor property values Tualatin Tigard,City Guide: Tualatin,,,,,,,,,,,,
Blog,Lake Oswego,Lake Oswego Lifestyle,https://www.sellingpdxhomes.com/blog/lake-oswego-real-estate-lifestyle-guide,,Lake Oswego Real Estate & Lifestyle Guide | Oregon,"Lake Oswego offers some of the finest homes in the Portland metro with top schools, lake access, and a luxury lifestyle. Get the full guide to living there.",,Community Page,Buying a Home,,https://www.sellingpdxhomes.com/blog?categoryId=22424,Published,living in Lake Oswego Oregon,City Guide: Lake Oswego,,,,,,,,,,,,
Blog,Hillsboro,Moving to Hillsboro,https://www.sellingpdxhomes.com/blog/moving-to-hillsboro-oregon-guide,,"Moving to Hillsboro, Oregon: Everything You Need to Know","Hillsboro is Oregon's tech hub, and it's growing fast. Get the complete relocation guide covering neighborhoods, schools, commutes, and what homes cost here.",,Community Page,,,https://www.sellingpdxhomes.com/blog?categoryId=22424,Published,living in Hillsboro Oregon,City Guide: Hillsboro,,,,,,,,,,,,
